Date, Open, High, Low, Close
05/05/16, 6112.02, 6152.59, 6102.29, 6117.25
05/04/16, 6185.59, 6185.59, 6100.76, 6112.02
05/03/16, 6241.89, 6270.03, 6159.86, 6185.59
05/02/16, 6241.89, 6322.40, 6241.89, 6241.89
04/29/16, 6322.40, 6322.40, 6241.89, 6241.89
04/28/16, 6319.91, 6322.40, 6224.47, 6322.40
04/27/16, 6284.52, 6319.91, 6255.20, 6319.91
04/26/16, 6260.92, 6297.88, 6260.92, 6284.52
04/25/16, 6310.44, 6324.60, 6249.34, 6260.92
04/22/16, 6381.44, 6381.58, 6289.34, 6310.44
04/21/16, 6410.26, 6427.32, 6352.93, 6381.44
04/20/16, 6405.35, 6421.91, 6367.36, 6410.26
04/19/16, 6353.52, 6418.25, 6353.49, 6405.35
04/18/16, 6343.75, 6354.88, 6261.71, 6353.52
04/15/16, 6365.10, 6372.52, 6328.19, 6343.75
04/14/16, 6362.89, 6373.93, 6335.40, 6365.10
04/13/16, 6242.39, 6362.89, 6242.39, 6362.89
04/12/16, 6200.12, 6248.27, 6176.28, 6242.39
04/11/16, 6204.41, 6229.66, 6165.46, 6200.12
04/08/16, 6136.89, 6216.28, 6136.89, 6204.41
04/07/16, 6161.63, 6204.11, 6119.38, 6136.89
04/06/16, 6091.23, 6161.63, 6091.23, 6161.63
04/05/16, 6164.72, 6164.74, 6061.85, 6091.23
04/04/16, 6146.05, 6201.95, 6132.90, 6164.72
04/01/16, 6174.90, 6174.90, 6076.89, 6146.05
03/31/16, 6203.17, 6203.39, 6149.82, 6174.90
03/30/16, 6105.90, 6221.80, 6105.90, 6203.17
03/29/16, 6106.48, 6156.67, 6070.77, 6105.90
03/28/16, 6106.48, 6199.11, 6090.03, 6106.48
03/25/16, 6106.48, 6199.11, 6090.03, 6106.48
03/24/16, 6199.11, 6199.11, 6090.03, 6106.48
03/23/16, 6192.74, 6216.76, 6171.13, 6199.11
03/22/16, 6184.58, 6193.47, 6110.39, 6192.74
03/21/16, 6189.64, 6215.30, 6154.12, 6184.58
03/18/16, 6201.12, 6237.02, 6186.24, 6189.64
03/17/16, 6175.49, 6220.02, 6125.70, 6201.12
03/16/16, 6139.97, 6186.18, 6134.27, 6175.49
03/15/16, 6174.57, 6174.57, 6114.77, 6139.97
03/14/16, 6139.79, 6197.83, 6139.79, 6174.57
03/11/16, 6036.70, 6150.88, 6036.70, 6139.79
03/10/16, 6146.32, 6203.40, 6036.70, 6036.70
03/09/16, 6125.44, 6174.82, 6118.23, 6146.32
03/08/16, 6182.40, 6182.45, 6101.89, 6125.44
03/07/16, 6199.43, 6216.10, 6125.64, 6182.40
03/04/16, 6130.46, 6204.14, 6130.46, 6199.43
03/03/16, 6147.06, 6173.70, 6108.35, 6130.46
03/02/16, 6152.88, 6194.01, 6097.77, 6147.06
03/01/16, 6097.09, 6153.75, 6070.51, 6152.88
02/29/16, 6096.01, 6104.98, 6033.21, 6097.09
02/26/16, 6012.81, 6115.37, 6012.81, 6096.01
02/25/16, 5867.18, 6028.97, 5867.18, 6012.81
02/24/16, 5962.31, 5966.73, 5845.55, 5867.18
02/23/16, 6037.73, 6037.73, 5954.18, 5962.31
02/22/16, 5950.23, 6065.81, 5950.23, 6037.73
02/19/16, 5971.95, 6001.22, 5916.26, 5950.23
02/18/16, 6030.32, 6036.46, 5948.25, 5971.95
02/17/16, 5862.17, 6030.32, 5862.17, 6030.32
02/16/16, 5824.28, 5880.72, 5812.49, 5862.17
02/15/16, 5707.60, 5844.53, 5707.60, 5824.28
02/12/16, 5536.97, 5707.60, 5536.97, 5707.60
02/11/16, 5672.30, 5672.30, 5499.51, 5536.97
02/10/16, 5632.19, 5712.78, 5616.88, 5672.30
02/09/16, 5689.36, 5739.25, 5596.26, 5632.19
02/08/16, 5848.06, 5882.43, 5666.13, 5689.36
02/05/16, 5898.76, 5945.90, 5839.36, 5848.06
02/04/16, 5837.14, 5938.12, 5831.12, 5898.76
02/03/16, 5922.01, 5924.58, 5791.04, 5837.14
02/02/16, 6060.10, 6060.45, 5889.60, 5922.01
02/01/16, 6083.79, 6115.11, 5993.84, 6060.10
01/29/16, 5931.78, 6083.79, 5931.78, 6083.79
01/28/16, 5990.37, 6020.54, 5889.37, 5931.78
01/27/16, 5911.46, 5990.37, 5870.75, 5990.37
01/26/16, 5877.00, 5919.17, 5771.37, 5911.46
01/25/16, 5900.01, 5933.47, 5851.83, 5877.00
01/22/16, 5773.79, 5926.94, 5773.79, 5900.01
01/21/16, 5673.58, 5781.24, 5659.15, 5773.79
01/20/16, 5876.80, 5876.80, 5639.88, 5673.58
01/19/16, 5779.92, 5915.69, 5779.92, 5876.80
01/18/16, 5804.10, 5852.09, 5766.50, 5779.92
01/15/16, 5918.23, 5934.62, 5769.23, 5804.10
