"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2015","9,621.73","9,596.24","9,635.18","9,580.78","1.91M","0.17%"
"Mar 03, 2015","9,605.77","9,628.06","9,642.95","9,571.64","1.88M","0.05%"
"Mar 02, 2015","9,601.36","9,665.11","9,690.43","9,588.36","2.20M","-0.22%"
"Feb 26, 2015","9,622.10","9,687.48","9,688.07","9,610.59","2.12M","-0.80%"
"Feb 25, 2015","9,699.54","9,655.72","9,699.54","9,653.77","2.21M","0.73%"
"Feb 24, 2015","9,629.37","9,582.39","9,638.48","9,582.39","2.33M","1.05%"
"Feb 13, 2015","9,529.51","9,500.04","9,542.09","9,499.97","1.60M","0.35%"
"Feb 12, 2015","9,496.31","9,496.39","9,500.35","9,447.19","1.56M","0.36%"
"Feb 11, 2015","9,462.22","9,430.17","9,488.72","9,430.17","1.91M","0.73%"
"Feb 10, 2015","9,393.70","9,405.59","9,435.07","9,390.13","1.63M","-0.30%"
"Feb 09, 2015","9,421.50","9,465.12","9,465.12","9,413.18","1.43M","-0.37%"
"Feb 06, 2015","9,456.18","9,521.88","9,521.88","9,448.65","1.53M","-0.59%"
"Feb 05, 2015","9,512.05","9,511.06","9,517.42","9,472.42","1.52M","-0.02%"
"Feb 04, 2015","9,513.92","9,477.52","9,533.88","9,477.52","2.13M","0.69%"
"Feb 03, 2015","9,448.73","9,394.47","9,460.17","9,394.47","1.65M","0.66%"
"Feb 02, 2015","9,386.99","9,368.83","9,410.43","9,352.19","1.65M","0.27%"
"Jan 30, 2015","9,361.91","9,452.85","9,466.65","9,361.91","2.04M","-0.69%"
"Jan 29, 2015","9,426.90","9,479.36","9,482.13","9,403.75","1.85M","-0.88%"
"Jan 28, 2015","9,510.92","9,503.20","9,515.29","9,471.31","1.78M","-0.11%"
"Jan 27, 2015","9,521.59","9,505.56","9,523.73","9,471.19","1.88M","0.46%"
"Jan 26, 2015","9,477.67","9,474.56","9,478.53","9,436.47","1.91M","0.07%"
"Jan 23, 2015","9,470.94","9,422.00","9,471.80","9,422.00","2.65M","1.08%"
"Jan 22, 2015","9,369.51","9,336.81","9,386.56","9,336.81","2.39M","0.53%"
"Jan 21, 2015","9,319.71","9,283.79","9,319.71","9,275.68","2.17M","0.74%"
"Jan 20, 2015","9,251.69","9,188.76","9,259.31","9,177.48","1.80M","0.85%"
"Jan 19, 2015","9,174.06","9,183.76","9,247.09","9,151.82","1.89M","0.39%"
"Jan 16, 2015","9,138.29","9,245.77","9,256.86","9,109.46","2.59M","-0.29%"
"Jan 15, 2015","9,165.09","9,197.32","9,219.43","9,149.10","2.21M","-0.16%"
"Jan 14, 2015","9,180.23","9,235.90","9,242.20","9,161.71","2.27M","-0.56%"
"Jan 13, 2015","9,231.80","9,162.77","9,253.82","9,161.71","2.32M","0.58%"
"Jan 12, 2015","9,178.30","9,198.02","9,229.65","9,178.30","2.21M","-0.40%"
"Jan 09, 2015","9,215.58","9,247.40","9,284.57","9,215.58","2.40M","-0.24%"
"Jan 08, 2015","9,238.03","9,154.03","9,246.62","9,154.03","2.66M","1.74%"
"Jan 07, 2015","9,080.09","9,051.94","9,108.66","9,050.54","2.38M","0.35%"
