"Date","Price","Open","High","Low","Change %"
"Apr 17, 2012","51.395","51.685","51.685","51.395","-0.43%"
"Apr 16, 2012","51.615","51.540","51.735","51.345","0.13%"
"Apr 13, 2012","51.550","51.210","51.580","51.170","0.61%"
"Apr 12, 2012","51.235","51.435","51.610","51.225","-0.45%"
"Apr 11, 2012","51.465","51.490","51.655","51.275","-0.04%"
"Apr 10, 2012","51.485","51.155","51.495","51.055","0.57%"
"Apr 09, 2012","51.195","51.155","51.413","51.035","0.16%"
"Apr 06, 2012","51.115","51.115","51.155","51.005","0.15%"
"Apr 05, 2012","51.040","51.120","51.170","50.970","-0.02%"
"Apr 04, 2012","51.050","50.820","51.240","50.810","0.97%"
"Apr 03, 2012","50.560","50.880","50.880","50.519","-0.47%"
"Apr 02, 2012","50.800","50.850","50.930","50.790","-0.15%"
"Mar 30, 2012","50.875","51.405","51.405","50.805","-0.92%"
"Mar 29, 2012","51.345","50.790","51.425","50.745","1.11%"
"Mar 28, 2012","50.780","50.685","51.025","50.595","0.22%"
"Mar 27, 2012","50.670","51.032","51.160","50.570","-0.71%"
"Mar 26, 2012","51.030","51.180","51.495","51.030","-0.28%"
"Mar 23, 2012","51.175","51.175","51.245","51.075","-0.23%"
"Mar 22, 2012","51.295","50.675","51.305","50.525","1.30%"
"Mar 21, 2012","50.635","50.405","50.695","50.315","0.20%"
"Mar 20, 2012","50.535","50.245","50.535","50.165","0.72%"
"Mar 19, 2012","50.175","50.185","50.275","50.082","0.07%"
"Mar 16, 2012","50.140","50.390","50.445","50.120","-0.31%"
"Mar 15, 2012","50.295","49.925","50.505","49.925","0.73%"
"Mar 14, 2012","49.930","49.930","50.030","49.800","0.15%"
"Mar 13, 2012","49.855","49.985","50.030","49.805","-0.24%"
"Mar 12, 2012","49.975","49.730","50.045","49.730","0.43%"
"Mar 09, 2012","49.760","50.050","50.085","49.760","-0.64%"
"Mar 08, 2012","50.080","50.290","50.305","50.080","-0.40%"
